Type,Issue,Topic,Author,Examples,Solution,Electoral Commission website,Electoral Act,Independent Electoral Review,Andrew Geddis' Textbook,General Google
core,People sectioned under the Mental Health Act,General,,,,,Electoral Act S 80(c) - a person detained in hospital under the Mental Health Act 1992 or in secure facility under the Intellectual Disability Act 2003,"Pg 193 - In some cases, a person who has committed a crime may not be in prison on mental health grounds or due to an intellectual disability. This situation may occur if a person has been found unfit to stand trial, acquitted on the legal grounds of insanity, committed to a hospital or secure facility upon conviction, or is in prison and requires compulsory care or treatment. In these situations, a person loses the right to vote if they are detained in a hospital or secure facility for more than three years. This disqualification essentially provides for
consistent treatment with other offenders. ","4.2.4 Exceptions to the right to vote
Pg 63/64 - We regard some people simply to be unsuitable participants in the electoral process due to their previous actions. Various classes of person who are detained in hospital for treatment of a mental illness for a period of three or more years following criminal offending cannot enrol while so detained, but may enrol immediately upon their release. ",
core,People sectioned under the Mental Health Act,ENROLMENT,,,,,,,,
core,People sectioned under the Mental Health Act,TURNOUT,,,,,,,,
core,People in the hospital,General,,"I have to get surgery on the Friday before polling day, how do I vote?",,,"Electoral Act Special Voting s 61(d) the person is, by reason of illness, infirmity, pregnancy, or recent childbirth, unable to attend to vote and any polling place in the district. 
S 61(f) ... not practicable for that person to vote at the polling place in the district without incurring hardship or serious inconvenience.",,,
core,People in the hospital,ENROLMENT,,,,,,,,
core,People in the hospital,TURNOUT,,,Advance vote; take away vote,"If you can’t get to a voting place because you are in hospital, you can authorise a friend or family member to bring you your voting papers. If you’re scheduled to go into hospital prior to election day, it’s best to vote in advance if you can - advance voting begins from the 26th October - https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place",,,,
core,People serving a prison sentence,General,,,,,Electoral Act s 80(1)(d)(i)(C) - disqualified from voting if detained in prision and serving a sentence for a term of 3 years or more.,,"4.2.4 Exceptions to the right to vote
Pg 63 - any person detained in a prison facility under a sentence of imprisonment of three or more years (including life sentences or preventative detention) cannot enrol while so detained. However, they regain the right to enrol immediately upon their release, even if this should occur before the end of the full sentence of imprisonment.",
core,People serving a prison sentence,ENROLMENT,,"I am currently serving a prison sentence of 2 years, can I still enrol to vote? And if so, how?",This depends on when you were sentenced,You can only enrol and vote if you are serving a prison sentence of less than 3 years and all the offences you were sentenced for occurred before 20 December 2025 - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote,,,,"Prison staff offer assisstance to those who are eligible to enrol to vote and enrolment applications are individually scanned and emailed to the Electoral Commission. - https://www.corrections.govt.nz/our_work/in_prison/being_in_prison/voting_in_prison 
The electorate you are enrolled in is based on the address you last resided at for at least 1 month, you can then fix your postal address as the prison you are in to receive mail. https://www.corrections.govt.nz/our_work/in_prison/being_in_prison/voting_in_prison "
core,People serving a prison sentence,TURNOUT,,"I am currently serving a prison sentence of 2 years, how will I be able to vote from prison?",,,,,,"Corrections will facilitate voting for eligible prisoners through advance voting for the 2026 General Election. Prisoners votes are counted as special vote.
https://www.corrections.govt.nz/our_work/in_prison/being_in_prison/voting_in_prison 
During the advance voting period (26 October to 6 November 2026), mobile voting teams will attend prisons and set up voting facilities for prisoners who are eligible to vote. https://www.cab.org.nz/article/KB00001070
The general manager custodial must ensure that all prisoners who are eligible and have enrolled to vote are given the opportunity to vote. https://www.corrections.govt.nz/resources/policy_and_legislation/Prison-Operations-Manual/Prisoner-finance-activities/F.03-Prisoner-enrolment-and-voting"
core,People on remand,General,,,,,,,,
