TOP LEVEL,BARRIERS,EXAMPLES,SPECIFIC ISSUES,ANSWER,Source?
Are you...,,,,,
Trying to enrol and vote,There are a number of barriers or issues that can get between people and enrolling and voting - which of these apply?,Examples,,,
,,,,,
,Working or child care gets in the way,,Working or child care gets in the way of voting,,
,,I am a parent with young children and I have no one to watch them while I vote. Am I allowed to bring my children with me when I vote?,I have to bring my kids with me ,"Vote – The law requires a person to enter the voting booth alone, which is intended to protect the secrecy of their vote. However, in practice, voters may take their children into the voting booth with them if they cannot be left unattended.",https://www.justice.govt.nz/assets/Documents/Publications/Independent-Electoral-Review-Final-Report-November-2023.pdf Pg 496.
,,"I'm an essential worker who is working on election day, can I leave work to vote?",I am an essential worker / working on election day,"Vote – You are legally entitled to time away from work to vote on election day. You can also vote early at an [[advance-voting]] place. If you have not had a reasonable opportunity to vote before starting work on election day, and you are not required to carry out essential work or services, your employer must allow you to leave work to vote by 3pm. You are entitled to remain away from work for the rest of the day if necessary to vote, and your employer cannot deduct pay for this time. 

If you are required to work after 3pm to carry out essential work or services, your employer must allow you a reasonable amount of time earlier in the day to vote. Your employer cannot deduct pay for this time, provided you do not take more than two hours off work.",https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place & Electoral Act s 162
,,I am doing seasonal farming work during the election period. Can I still vote away from my usual address?,"I am living somewhere temporarily for work e.g. seasonal workers, sharemilkers, away at training","Enrol – You can enrol online or by completing a paper form. Your residential address for enrolment purposes does not change if you are temporarily away from your usual home.

Vote – If you are away from your usual place of residence, you can vote at the nearest voting place. As your name will not appear on the printed electoral roll at that location, you will need to complete a special declaration vote form before voting. This is known as a [[special-vote]].","Electoral Act s 61(b), s 72(6)(a), and s 162."
,,"I work night shifts and sleep during the day, how can I cast my vote? ",I am a shift worker,Vote – You can either vote during the [[advance-voting]] period or cast a [[takeaway-vote]]. ,
,,,,,
,I can't physically get to a polling place,,I can't physically get to a polling place,,
,,"I have to get surgery on the Friday before polling day, how do I vote?",I will be in hospital,"Enrol – You can enrol online or by completing a paper form, and you can have someone support you with the process if needed. Your enrolment address should be your usual residential address, not the hospital where you will be staying.

Vote – If you cannot get to a voting place because you are in hospital, you can authorise a friend or family member to collect your voting papers and bring them to you so you can cast a [[takeaway-vote]]. If you are scheduled to go into hospital before election day, it is best to vote in advance if you can. [[Advance-voting]] begins on **26 October**, 12 days before election day.",https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place & https://elections.nz/guidance-and-rules/candidate-hub/resources/enrolment-and-resources-2 & Electoral Act s 72(5)
,,"I have health issues and do not like being in public, crowded spaces. Can I still vote?",I can't leave care/ or the house,"Vote – You can authorise someone to collect your voting papers from a voting place on your behalf - this process is known as a [[takeaway-vote]]. If you cannot get to a voting place and do not have someone who can collect your voting papers for you, contact your electorate manager. It may be possible for your voting papers to be delivered to you and then collected once you have completed them.",https://vote.nz/2026-general-election/voting-in-the-election/cant-get-to-a-voting-place 
,,"I am serving a 6 month home detention sentence, can I still enrol to vote?",I am serving home detention ,"Enrol – If you are on home detention, you can still enrol to vote, provided you meet the general eligibility criteria. You can enrol online or by completing a paper form.

Vote – You can vote if you are on home detention or serving a community-based sentence. Election officials will provide your local Probation Services office with information about the voting options available to you.",https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote  & https://vote.nz/voting/get-help-to-vote/cant-get-to-a-voting-place 
